FID,ESTADO,ET_ID,PROYECTO,FechaAlta,Actualizad,LONGITUD,RED,TRAMO,SECTOR,PGOU,Shape__Length
303,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,496,,0,,,624.705826604601
304,RED ACTUAL,230,0,,,777,,0,,,978.550427561792
305,RED ACTUAL,102,0,,,408,,0,,,512.082650353306
306,RED ACTUAL,231,0,,,82,,0,,,103.773760984134
307,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,17,,0,,,21.4374773204853
308,RED ACTUAL,103,0,,3/17/2017 12:00:00 AM,353,,0,,,443.518749709889
309,RED ACTUAL,232,0,,,33,,0,,,41.8476927325277
310,RED ACTUAL,104,0,,,4110,,0,,,5181.19974145378
311,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,57,,0,,,71.7984978987738
312,RED ACTUAL,233,0,,,54,,0,,,68.3097063142452
313,RED ACTUAL,234,0,,,712,,0,,,897.856583044436
314,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,553,,0,,,696.750458252761
315,RED ACTUAL,105,0,,,75,,0,,,94.0028238817459
316,RED ACTUAL,235,0,,,485,,0,,,610.222829544658
317,RED ACTUAL,106,0,,,349,,0,,,438.759803959751
318,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,13,,0,,,16.068543724005
319,RED ACTUAL,236,0,,,37,,0,,,46.9540192383386
320,RED ACTUAL,107,0,,,910,,0,,,1147.0860569894
321,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,81,,0,,,101.504157755546
322,RED ACTUAL,237,0,,,419,,0,,,512.655530509474
323,RED ACTUAL,108,0,,,260,,0,,,326.320234541538
324,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,9,,0,,,11.4250623017472
325,RED ACTUAL,238,0,,,776,,0,,,978.021422745813
326,RED ACTUAL,109,0,,,710,,0,,,894.323361084906
327,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,249,,0,,,314.456541923928
328,RED ACTUAL,239,0,,,889,,0,,,1118.03667621079
329,RED ACTUAL,110,0,,,596,,0,,,739.40121808203
330,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,203,,0,,,256.001714759754
331,RED ACTUAL,240,0,,3/17/2017 12:00:00 AM,810,,0,,,1021.58791950013
332,RED ACTUAL,111,0,,,525,,0,,,662.635718194647
333,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,20,,0,,,25.54576934023
334,RED ACTUAL,241,0,,,396,,0,,,497.517314621155
335,RED ACTUAL,112,0,,,307,,0,,,386.340383779836
336,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,76,,0,,,95.367986645617
337,RED ACTUAL,242,0,,,267,,0,,,336.280405606153
338,RED ACTUAL,113,0,,,809,,0,,,1017.8179752173
339,RED ACTUAL,243,0,,,459,,0,,,578.266574445453
340,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,24,,0,,,29.7051888275664
341,RED ACTUAL,114,0,,,780,,0,,,952.969198217228
342,RED ACTUAL,115,0,,,702,,0,,,883.552616507315
343,RED ACTUAL,244,0,,,111,,0,,,139.865726779599
344,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,390,,0,,,492.63190264822
345,RED ACTUAL,116,0,,,452,,0,,,569.306251192103
346,RED ACTUAL,245,0,,,62,,0,,,77.8377638465925
347,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,42,,0,,,52.4484633351693
348,RED ACTUAL,246,0,,,508,,0,,,640.705570843407
349,RED ACTUAL,117,0,,,1220,,0,,,1538.06160784188
350,RED ACTUAL,247,0,,,220,,0,,,276.741612762643
351,RED ACTUAL,118,0,,,143,,0,,,179.937686806587
352,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,273,,0,,,343.657680522216
353,RED ACTUAL,248,0,,,623,,0,,,782.353190702342
354,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,289,,0,,,363.398138384839
355,RED ACTUAL,119,0,,,1376,,0,,,1733.8767299693
356,RED ACTUAL,249,0,,,624,,0,,,783.204473006474
357,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,174,,0,,,218.859033491115
358,RED ACTUAL,120,0,,,1960,,0,,,2469.7102781342
359,RED ACTUAL,250,0,,,250,,0,,,314.583710502361
360,RED ACTUAL,121,0,,,649,,0,,,818.049411730774
361,RED ACTUAL,0,0,3/17/2017 12:00:00 AM,12/30/1899 12:00:00 AM,146,,0,,,183.399287645409
